"","non-missing","missing","missing percent","unique","mean","min","p1","p5","p10","p25","p50","p75","p90","p95","p99","max"
"ID",30000,0,0,30000,15000.5,1,300.99,1500.95,3000.9,7500.75,15000.5,22500.25,27000.1,28500.05,29700.01,30000
"LIMIT_BAL",30000,0,0,81,167484.32,10000,10000,20000,30000,50000,140000,240000,360000,430000,500000,1000000
"SEX",30000,0,0,2,1.6,1,1,1,1,1,2,2,2,2,2,2
"EDUCATION",30000,0,0,7,1.85,0,1,1,1,1,2,2,3,3,5,6
"MARRIAGE",30000,0,0,4,1.55,0,1,1,1,1,2,2,2,2,3,3
"AGE",30000,0,0,56,35.49,21,22,23,25,28,34,41,49,53,60,79
"PAY_0",30000,0,0,11,-0.02,-2,-2,-2,-1,-1,0,0,2,2,3,8
"PAY_2",30000,0,0,11,-0.13,-2,-2,-2,-2,-1,0,0,2,2,3,8
"PAY_3",30000,0,0,11,-0.17,-2,-2,-2,-2,-1,0,0,2,2,3,8
"PAY_4",30000,0,0,11,-0.22,-2,-2,-2,-2,-1,0,0,2,2,3,8
"PAY_5",30000,0,0,10,-0.27,-2,-2,-2,-2,-1,0,0,0,2,3,8
"PAY_6",30000,0,0,10,-0.29,-2,-2,-2,-2,-1,0,0,2,2,3,8
"BILL_AMT1",30000,0,0,22723,51223.33,-165580,-81,0,278.9,3558.75,22381.5,67091,142133.7,201203.05,350110.68,964511
"BILL_AMT2",30000,0,0,22346,49179.08,-69777,-200,0,0,2984.75,21200,64006.25,136905.5,194792.2,337495.28,983931
"BILL_AMT3",30000,0,0,22026,47013.15,-157264,-200,0,0,2666.25,20088.5,60164.75,132051.3,187821.05,325030.39,1664089
"BILL_AMT4",30000,0,0,21548,43262.95,-170000,-212.02,0,0,2326.75,19052,54506,122418.7,174333.35,304997.27,891586
"BILL_AMT5",30000,0,0,21010,40311.4,-81334,-232.01,0,0,1763,18104.5,50190.5,115883,165794.3,285868.33,927171
"BILL_AMT6",30000,0,0,20604,38871.76,-339603,-331.03,0,0,1256,17071,49198.25,112110.4,161912,279505.06,961664
"PAY_AMT1",30000,0,0,7943,5663.58,0,0,0,0,1000,2100,5006,10300,18428.2,66522.18,873552
"PAY_AMT2",30000,0,0,7899,5921.16,0,0,0,0,833,2009,5000,10401.1,19004.35,76651.02,1684259
"PAY_AMT3",30000,0,0,7518,5225.68,0,0,0,0,390,1800,4505,10000,17589.4,70000,896040
"PAY_AMT4",30000,0,0,6937,4826.08,0,0,0,0,296,1500,4013.25,9570.6,16014.95,67054.44,621000
"PAY_AMT5",30000,0,0,6897,4799.39,0,0,0,0,252.5,1500,4031.5,9500,16000,65607.56,426529
"PAY_AMT6",30000,0,0,6939,5215.5,0,0,0,0,117.75,1500,4000,9600,17343.8,82619.05,528666
"default.payment.next.month",30000,0,0,2,0.22,0,0,0,0,0,0,0,1,1,1,1
